"variable","value","quarter0","quarter1","product"
"expshare_matched0",0.990272233833536,2020-06-01,2020-09-01,"desktop"
"expshare_matched1",0.803971877024816,2020-06-01,2020-09-01,"desktop"
"expshare_disappearing0",0.0097277661664641,2020-06-01,2020-09-01,"desktop"
"expshare_new1",0.196028122975184,2020-06-01,2020-09-01,"desktop"
"MMT_price_ln",0.0195769352649997,2020-06-01,2020-09-01,"desktop"
"MMT_comp_ln",0.0129384446107046,2020-06-01,2020-09-01,"desktop"
"MMT_entry_ln",0.0728604584446124,2020-06-01,2020-09-01,"desktop"
"MMT_exit_ln",0.00589900368406937,2020-06-01,2020-09-01,"desktop"
"MMT_quality_ln",0.0798998993712476,2020-06-01,2020-09-01,"desktop"
"TPD_price_ln",0.0158968934881068,2020-06-01,2020-09-01,"desktop"
"TPD_entry_ln",0.174021038110883,2020-06-01,2020-09-01,"desktop"
"TPD_exit_ln",0.0104683336559985,2020-06-01,2020-09-01,"desktop"
"TPD_comp_ln",-0.0799727633067424,2020-06-01,2020-09-01,"desktop"
"TPD_quality_ln",0.0835799411481418,2020-06-01,2020-09-01,"desktop"
"cewgmp_ln",0.0994768346362481,2020-06-01,2020-09-01,"desktop"
"GEKST_price_ln",-0.0489182125209101,2020-06-01,2020-09-01,"desktop"
"GEKST_comp_ln",0.0673059066815049,2020-06-01,2020-09-01,"desktop"
"GEKST_entry_ln",0.128808551621604,2020-06-01,2020-09-01,"desktop"
"GEKST_exit_ln",0.0477194111459516,2020-06-01,2020-09-01,"desktop"
"GEKST_quality_ln",0.148395047157158,2020-06-01,2020-09-01,"desktop"
"expshare_matched0",0.976744903042474,2020-09-01,2020-12-01,"desktop"
"expshare_matched1",0.845281108327858,2020-09-01,2020-12-01,"desktop"
"expshare_disappearing0",0.0232550969575259,2020-09-01,2020-12-01,"desktop"
"expshare_new1",0.154718891672143,2020-09-01,2020-12-01,"desktop"
"MMT_price_ln",-0.0460364218121446,2020-09-01,2020-12-01,"desktop"
"MMT_comp_ln",0.108413912623088,2020-09-01,2020-12-01,"desktop"
"MMT_entry_ln",-0.0460196398340589,2020-09-01,2020-12-01,"desktop"
"MMT_exit_ln",-0.00598028542209406,2020-09-01,2020-12-01,"desktop"
"MMT_quality_ln",0.0683745582111233,2020-09-01,2020-12-01,"desktop"
"TPD_price_ln",-0.0575013240101052,2020-09-01,2020-12-01,"desktop"
"TPD_entry_ln",0.0609850605697427,2020-09-01,2020-12-01,"desktop"
"TPD_exit_ln",0.00833614878303013,2020-09-01,2020-12-01,"desktop"
"TPD_comp_ln",0.027190548622371,2020-09-01,2020-12-01,"desktop"
"TPD_quality_ln",0.0798394604090836,2020-09-01,2020-12-01,"desktop"
"cewgmp_ln",0.0223381363989784,2020-09-01,2020-12-01,"desktop"
"GEKST_price_ln",-0.0807694608061298,2020-09-01,2020-12-01,"desktop"
"GEKST_comp_ln",0.192318967585439,2020-09-01,2020-12-01,"desktop"
"GEKST_entry_ln",-0.0336359766033785,2020-09-01,2020-12-01,"desktop"
"GEKST_exit_ln",0.0555753937769532,2020-09-01,2020-12-01,"desktop"
"GEKST_quality_ln",0.103107597205108,2020-09-01,2020-12-01,"desktop"
"expshare_matched0",0.952288206241483,2020-12-01,2021-03-01,"desktop"
"expshare_matched1",0.874095616393804,2020-12-01,2021-03-01,"desktop"
"expshare_disappearing0",0.0477117937585171,2020-12-01,2021-03-01,"desktop"
"expshare_new1",0.125904383606196,2020-12-01,2021-03-01,"desktop"
"MMT_price_ln",-0.0158942441383904,2020-12-01,2021-03-01,"desktop"
"MMT_comp_ln",-0.02200172179818,2020-12-01,2021-03-01,"desktop"
"MMT_entry_ln",0.0164839513710531,2020-12-01,2021-03-01,"desktop"
"MMT_exit_ln",-0.00347934175839626,2020-12-01,2021-03-01,"desktop"
"MMT_quality_ln",-0.00203842866873068,2020-12-01,2021-03-01,"desktop"
"TPD_price_ln",-0.0165839020702599,2020-12-01,2021-03-01,"desktop"
"TPD_entry_ln",0.094307651802306,2020-12-01,2021-03-01,"desktop"
"TPD_exit_ln",0.0252754429654808,2020-12-01,2021-03-01,"desktop"
"TPD_comp_ln",-0.0703809795736845,2020-12-01,2021-03-01,"desktop"
"TPD_quality_ln",-0.0013487707368592,2020-12-01,2021-03-01,"desktop"
"cewgmp_ln",-0.0179326728071195,2020-12-01,2021-03-01,"desktop"
"GEKST_price_ln",-0.0275651587112203,2020-12-01,2021-03-01,"desktop"
"GEKST_comp_ln",-0.0153587311537467,2020-12-01,2021-03-01,"desktop"
"GEKST_entry_ln",0.0824389283306701,2020-12-01,2021-03-01,"desktop"
"GEKST_exit_ln",0.0574477112728227,2020-12-01,2021-03-01,"desktop"
"GEKST_quality_ln",0.00963248590410079,2020-12-01,2021-03-01,"desktop"
"expshare_matched0",0.937279941899576,2021-03-01,2021-06-01,"desktop"
"expshare_matched1",0.731920556956221,2021-03-01,2021-06-01,"desktop"
"expshare_disappearing0",0.0627200581004245,2021-03-01,2021-06-01,"desktop"
"expshare_new1",0.268079443043779,2021-03-01,2021-06-01,"desktop"
"MMT_price_ln",-0.0435771573654889,2021-03-01,2021-06-01,"desktop"
"MMT_comp_ln",0.0160368029046211,2021-03-01,2021-06-01,"desktop"
"MMT_entry_ln",0.0699485500459049,2021-03-01,2021-06-01,"desktop"
"MMT_exit_ln",0.00877177380100846,2021-03-01,2021-06-01,"desktop"
"MMT_quality_ln",0.0772135791495176,2021-03-01,2021-06-01,"desktop"
"TPD_price_ln",-0.0317099933493945,2021-03-01,2021-06-01,"desktop"
